,Date,Model Prediction,Actual Value
3351,2023-11-25,42564.324,37796.79296875
3352,2023-11-26,42673.434,37479.12109375
3353,2023-11-27,42381.434,37254.16796875
3354,2023-11-28,41857.008,37831.0859375
3355,2023-11-29,41707.105,37858.4921875
3356,2023-11-30,41667.582,37712.74609375
3357,2023-12-01,41858.812,38688.75
3358,2023-12-02,42286.766,39476.33203125
3359,2023-12-03,43220.824,39978.390625
3360,2023-12-04,44769.035,41980.09765625
3361,2023-12-05,46582.227,44080.6484375
3362,2023-12-06,47887.754,43746.4453125
3363,2023-12-07,48632.832,43292.6640625
3364,2023-12-08,48976.53,44166.6015625
3365,2023-12-09,49094.395,43725.984375
3366,2023-12-10,48892.51,43779.69921875
3367,2023-12-11,48384.85,41243.83203125
3368,2023-12-12,47232.617,41450.22265625
3369,2023-12-13,46759.754,42890.7421875
3370,2023-12-14,47157.977,43023.97265625
3371,2023-12-15,47387.953,41929.7578125
3372,2023-12-16,47321.035,42240.1171875
3373,2023-12-17,47516.977,41364.6640625
3374,2023-12-18,47265.617,42623.5390625
3375,2023-12-19,47575.684,42270.52734375
3376,2023-12-20,48043.195,43652.25
3377,2023-12-21,48398.754,43869.15234375
3378,2023-12-22,47847.855,43997.90234375
3379,2023-12-23,46455.324,43739.54296875
3380,2023-12-24,43761.547,43016.1171875
3381,2023-12-25,43222.996,43613.140625
3382,2023-12-26,42956.68,42520.40234375
3383,2023-12-27,42823.75,43442.85546875
3384,2023-12-28,42764.04,42627.85546875
3385,2023-12-29,42621.76,42099.40234375
3386,2023-12-30,42275.96,42156.90234375
3387,2023-12-31,42119.56,42265.1875
3388,2024-01-01,42432.99,44167.33203125
3389,2024-01-02,43706.934,44957.96875
3390,2024-01-03,44369.867,42848.17578125
3391,2024-01-04,44034.19,44179.921875
3392,2024-01-05,44254.816,44162.69140625
3393,2024-01-06,43931.594,43989.1953125
3394,2024-01-07,43774.33,43943.09765625
3395,2024-01-08,44494.312,46970.50390625
3396,2024-01-09,46026.293,46139.73046875
3397,2024-01-10,46286.41,46627.77734375
3398,2024-01-11,46107.316,46368.5859375
3399,2024-01-12,44927.312,42853.16796875
3400,2024-01-13,42655.63,42842.3828125
3401,2024-01-14,41297.64,41796.26953125
3402,2024-01-15,40432.69,42511.96875
3403,2024-01-16,40901.4,43154.9453125
3404,2024-01-17,41843.246,42742.65234375
3405,2024-01-18,41847.176,41262.05859375
3406,2024-01-19,40699.28,41618.40625
3407,2024-01-20,40106.63,41665.5859375
3408,2024-01-21,39756.094,41545.78515625
3409,2024-01-22,39716.074,39507.3671875
3410,2024-01-23,38959.188,39845.55078125
3411,2024-01-24,38695.223,40077.07421875
3412,2024-01-25,38746.93,39933.80859375
3413,2024-01-26,39152.094,41816.87109375
3414,2024-01-27,40354.27,42120.0546875
3415,2024-01-28,41153.69,42035.59375
3416,2024-01-29,41596.977,43288.24609375
3417,2024-01-30,42100.973,42952.609375
3418,2024-01-31,41900.043,42582.60546875
3419,2024-02-01,41637.08,43075.7734375
3420,2024-02-02,41759.434,43185.859375
3421,2024-02-03,41892.215,42992.25
3422,2024-02-04,41877.336,42583.58203125
3423,2024-02-05,41340.41,42658.66796875
3424,2024-02-06,41275.598,43084.671875
3425,2024-02-07,41563.99,44318.22265625
3426,2024-02-08,42531.215,45301.56640625
3427,2024-02-09,44364.562,47147.19921875
3428,2024-02-10,46397.137,47771.27734375
3429,2024-02-11,47613.098,48293.91796875
3430,2024-02-12,48331.05,49958.22265625
3431,2024-02-13,49119.72,49742.44140625
3432,2024-02-14,49983.598,51826.6953125
3433,2024-02-15,51118.785,51938.5546875
3434,2024-02-16,51825.03,52160.203125
3435,2024-02-17,51916.668,51662.99609375
3436,2024-02-18,52013.355,52122.546875
3437,2024-02-19,51830.336,51779.14453125
3438,2024-02-20,51667.03,52284.875
3439,2024-02-21,51775.164,51839.1796875
3440,2024-02-22,51782.492,51304.97265625
3441,2024-02-23,51350.34,50731.94921875
3442,2024-02-24,51058.33,51571.1015625
3443,2024-02-25,51068.637,51733.23828125
3444,2024-02-26,51885.44,54522.40234375
3445,2024-02-27,53951.426,57085.37109375
3446,2024-02-28,57203.414,62504.7890625
3447,2024-02-29,60126.99,61198.38281250001
3448,2024-03-01,60662.34,62440.6328125
3449,2024-03-02,60644.027,62029.84765625
3450,2024-03-03,60787.105,63167.37109375
3451,2024-03-04,62631.152,68330.4140625
3452,2024-03-05,64856.867,63801.19921875
3453,2024-03-06,64424.5,66106.8046875
3454,2024-03-07,64729.668,66925.484375
3455,2024-03-08,65380.152,68300.09375
3456,2024-03-09,65909.84,68498.8828125
3457,2024-03-10,66717.07,69019.7890625
3458,2024-03-11,67888.81,72123.90625
3459,2024-03-12,69233.305,71481.2890625
3460,2024-03-13,69714.73,73083.5
3461,2024-03-14,70086.62,71396.59375
3462,2024-03-15,69207.375,69403.7734375
3463,2024-03-16,67559.96,65315.1171875
3464,2024-03-17,66364.22,68390.625
3465,2024-03-18,67182.58,67548.59375
3466,2024-03-19,66291.42,61912.7734375
3467,2024-03-20,65214.617,67913.671875
3468,2024-03-21,66427.05,65491.390625
3469,2024-03-22,65493.41,63778.76171875
3470,2024-03-23,64136.555,64062.203125
3471,2024-03-24,65031.17,67234.171875
3472,2024-03-25,66944.125,69958.8125
3473,2024-03-26,69185.43,69987.8359375
3474,2024-03-27,69737.914,69455.34375
3475,2024-03-28,69618.695,70744.953125
3476,2024-03-29,69628.89,69892.828125
3477,2024-03-30,69547.08,69645.3046875
3478,2024-03-31,70180.12,71333.6484375
3479,2024-04-01,70833.21,69702.1484375
3480,2024-04-02,69211.586,65446.97265625
3481,2024-04-03,66655.66,65980.8125
3482,2024-04-04,66320.164,68508.84375
3483,2024-04-05,67729.74,67837.640625
3484,2024-04-06,68398.11,68896.109375
3485,2024-04-07,68988.26,69362.5546875
3486,2024-04-08,69463.734,71631.359375
3487,2024-04-09,69521.08,69139.015625
3488,2024-04-10,69188.69,70587.8828125
3489,2024-04-11,69379.99,70060.609375
3490,2024-04-12,69028.77,67195.8671875
3491,2024-04-13,66958.766,63821.47265624999
3492,2024-04-14,65498.49,65738.7265625
3493,2024-04-15,65165.562,63426.2109375
3494,2024-04-16,64586.324,63811.86328125
3495,2024-04-17,63881.688,61276.69140625
3496,2024-04-18,63161.434,63512.75390625
3497,2024-04-19,63450.496,63843.5703125
3498,2024-04-20,63918.59,64994.44140625
3499,2024-04-21,64315.26,64926.64453125
3500,2024-04-22,65049.96,66837.6796875
3501,2024-04-23,65714.836,66407.2734375
3502,2024-04-24,65561.08,64276.8984375
3503,2024-04-25,64539.344,64481.70703125001
3504,2024-04-26,64209.188,63755.3203125
3505,2024-04-27,63748.64,63419.140625
3506,2024-04-28,63566.477,63113.23046875
3507,2024-04-29,63602.23,63841.12109375
3508,2024-04-30,62752.06,60636.85546875
3509,2024-05-01,60562.414,58254.01171875
3510,2024-05-02,58871.703,59123.43359375
3511,2024-05-03,59944.215,62889.8359375
3512,2024-05-04,62482.65,63891.47265625
3513,2024-05-05,63944.473,64031.1328125
3514,2024-05-06,63917.598,63161.94921875
3515,2024-05-07,62749.438,62334.81640625
3516,2024-05-08,61406.133,61187.94140625
3517,2024-05-09,61272.984,63049.96093749999
3518,2024-05-10,62028.984,60792.77734374999
3519,2024-05-11,62064.918,60793.71093750001
3520,2024-05-12,61900.473,61448.39453125
3521,2024-05-13,61968.633,62901.44921875
3522,2024-05-14,61972.598,61552.7890625
3523,2024-05-15,62615.504,66267.4921875
3524,2024-05-16,64170.277,65231.58203125
3525,2024-05-17,64953.223,67051.875
3526,2024-05-18,65560.49,66940.8046875
3527,2024-05-19,65677.35,66278.3671875
3528,2024-05-20,66811.15,71448.1953125
3529,2024-05-21,69118.64,70136.53125
3530,2024-05-22,69274.84,69122.3359375
3531,2024-05-23,68250.68,67929.5625
3532,2024-05-24,67290.56,68526.1015625
3533,2024-05-25,67414.15,69265.9453125
3534,2024-05-26,67689.62,68518.09375
3535,2024-05-27,68169.64,69394.5546875
3536,2024-05-28,68147.58,68296.21875
3537,2024-05-29,67304.18,67578.09375
3538,2024-05-30,66935.21,68364.9921875
3539,2024-05-31,67082.6,67491.4140625
3540,2024-06-01,67101.56,67706.9375
3541,2024-06-02,67327.82,67751.6015625
3542,2024-06-03,67888.8,68804.78125
3543,2024-06-04,68739.086,70567.765625
3544,2024-06-05,69701.29,71082.8203125
3545,2024-06-06,70013.88,70757.1640625
3546,2024-06-07,69532.484,69342.5859375
3547,2024-06-08,68843.64,69305.7734375
3548,2024-06-09,68845.37,69647.9921875
3549,2024-06-10,69261.21,69512.28125
3550,2024-06-11,68932.85,67332.03125
3551,2024-06-12,68348.86,68241.1875
3552,2024-06-13,67534.9,66756.3984375
3553,2024-06-14,66589.234,66011.09375
3554,2024-06-15,66317.14,66191.0
3555,2024-06-16,66582.664,66639.046875
3556,2024-06-17,66495.555,66490.296875
3557,2024-06-18,66204.56,65140.74609375
3558,2024-06-19,65404.086,64960.296875
3559,2024-06-20,65015.258,64828.65625
3560,2024-06-21,64621.88,64096.19921875
3561,2024-06-22,64429.81,64252.578125
3562,2024-06-23,64412.777,63180.796875
3563,2024-06-24,63204.62,60277.4140625
3564,2024-06-25,61897.48,61804.640625
3565,2024-06-26,61732.266,60811.27734375
3566,2024-06-27,61671.395,61604.80078125
3567,2024-06-28,61717.582,60320.13671875001
3568,2024-06-29,61463.957,60887.37890625
3569,2024-06-30,61678.254,62678.29296875
3570,2024-07-01,62540.723,62851.98046875
3571,2024-07-02,62732.35,62029.01562500001
